,position,ref num,location ,content,black,ink,bone,soil,vintage camo broken twill,none
9,oxford,solis /  oxford l2-581 / 10k/10k / c6 + dwr,a,none,black,ink,bone,soil,x,none
10,broken twill,solis/  wl248 broken twill/ / 10k/10k / c6 + dwr,a,none,x,x,x,x,vintage camo broken twill,none
11,leather,suppler same quality as other faux leather trims,back right belt loop,none,brown faux leather,brown faux leather,brown faux leather,brown faux leather,brown faux leather,none
12,insulation,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
14,seam tape,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
15,seam tape,tsgs,fully taped,none,fully taped,fully taped,fully taped,fully taped,fully taped,none
16,lining,supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
17,solid 210t ,solis / sonp006-1,bib and leg,100% nylon,black,black,black,black,black,none
18,solid 210t ,solis / sonp006-1,secondary pocket bags,100% nylon,black,black,black,black,black,none
19,solid coated 210t,solis / sonp006-pu03,lower leg & gaiter,100% nylon,black,black,black,black,black,none
20,brushed tricot,supplier / ref code,"waistband, fly, hand pocket bags",100% polyester,black,black,black,black,black,none
21,regular mesh,1606b02 (als-16038),leg vents,100% polyester,black,black,black,black,black,none
22,lower leg lining print (see pdf),supplier/ reference number,location ,content,black,ink,bone,soil,vintage camo broken twill,0
23,on coated 210t,please source ,lower leg front and back,none,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,pantone 18-0950 tcx harvest screen print,none
